Node,Max_RRC
C22AB02X,101
C22AX,696
C22M02X,61
C22MX,416
C23A10X,71
C23A11X,98
C23A12X,75
C23AC50XSC,267
C23AC51XSC,678
C23AC52XSC,106
C23ACX,1697
C23AD02X,174
C23ADX,307
C23AEX,787
C23AF10X,101
C23AF11X,77
C23AF12X,116
C23AFX,839
C23AX,1017
C24A10X,48
C24A11X,77
C24A12X,164
C24A13X,68
C24ABX,1001
C24AC02X,343
C24ACX,460
C24AD02X,195
C24ADX,348
C24AE02X,170
C24AEX,560
C24AF10X,165
C24AF11X,132
C24AF12X,120
C24AF13X,57
C24AF14X,108
C24AFX,959
C24AGX,582
C24AHX,1262
C24AK01X,260
C24AX,1053
C25AA02X,182
C25AAX,778
C25AB02X,135
C25ABX,718
C25AC02X,320
C25ACX,832
C25ADX,1973
C25AF02X,109
C25AFX,749
C25AG02X,93
C25AGX,571
C25MX,594
C30EAX,692
C30EX,587
C31A02X,369
C31AA02X,417
C31AAX,561
C31AX,437
C31BX,766
C31EBX,1808
C31EC50XMA,1534
C31EX,1536
C32AAX,536
C32ABX,1059
C32AX,1184
C32MX,1351
C33ABX,1203
C33AX,1066
C34AB02X,162
C34ABX,359
C34AX,2145
C35AB50XMA,936
C35ACX,1014
C35AD01XMA,769
C40C01X,1200
C40C02X,183
C40EAX,1433
C40ES01XMA,1109
C40EX,1193
C41AAX,1779
C41AB01XMA,662
C42AAX,1345
C42AX,1682
C42C01X,1705
C43AA02X,158
C43AA50XMA,919
C43AAX,710
C43ABX,1167
C43AX,889
C43C01XMA,2069
C43EA02X,547
C43EAX,280
C43EB02X,133
C43EBX,557
C43EX,2044
C43F50XMA,1866
C44AB02X,288
C44ABX,480
C44AC02X,104
C44ACX,934
C44AX,1177
C44C50XMA,2185
C44MX,308
C45AB01X,553
C45AX,1312
C46A01XSC,437
C46AX,905
C46G02X,165
C46GX,397
C46M02X,48
C46MX,494
C47AA02X,194
C47AAX,281
C47AB02X,78
C47ABX,543
C47AC01X,817
C47AX,1504
C47M02X,73
C47MX,517
C48A02X,398
C48AX,601
C48B02X,1032
C48BX,433
C49AAX,1664
C49AX,632
C49B02X,133
C49BX,984
C4TESX,4
C50AB02X,113
C50ABX,748
C50AC02X,334
C50ACX,432
C50ADX,928
C50AE02X,165
C50AEX,1131
C50AX,873
C50BX,4216
C50MX,218
C52A01XSC,198
C52A02X,579
C52AX,779
C52M02X,746
C52MX,797
C53AX,2027
C53B50XMA,1107
C53DX,1993
C54AB01X,953
C54AX,799
C54DA02X,123
C54DAX,829
C54DX,1017
C55AX,703
C56AA02X,350
C56AAX,374
C56AX,246
C56B01X,651
C56C02X,475
C56CX,1259
C57AA02X,572
C57AAX,393
C57AB50XMA,1206
C57AX,1440
C57E02X,48
C57EX,97
C60A02X,215
C60AX,970
C60B01XMA,980
C60MX,2669
C61AX,1191
C61EAX,722
C61EBX,415
C61EX,1284
C62ABX,2165
C62AX,693
C63EAX,530
C63EBX,672
C63EC01XMA,345
C65AAX,807
C65ABX,771
C65ACX,1778
C65AD02X,120
C65ADX,781
C65AX,1376
C65MX,731
C66AAX,796
C66ABX,774
C66MX,376
C68B01X,938
C68DX,932
C68GAX,1926
C68GB02X,120
C68GBX,305
C68GCX,960
C68GGX,1122
C69G02X,331
C69GAX,1972
C69GB02X,160
C69GBX,687
C69GX,564
C70ABX,897
C70AX,923
